journal,n,issn
ANTHROPOLOGICAL SCIENCE,22,0918-7960
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,15,0003-0090
COMPOST SCIENCE \& UTILIZATION,6,1065-657X
IDEAS IN ECOLOGY AND EVOLUTION,7,1918-3178
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,4,0097-3157
SYSTEMIC BIOLOGY,15,1063-5157
WILDLIFE MONOGRAPHS,3,0084-0173
